data_source,platform,address_id,city,neighborhood,zone_type,lat,lon,product_name,item_price_mxn,delivery_fee_mxn,service_fee_mxn,total_checkout_mxn,eta_minutes,promotions_visible,store_available,scraped_at
playwright_uber_eats,uber_eats,MX_GDL_02,Guadalajara,Tlaquepaque Centro,urban_secondary,20.64,-103.31,McNuggets 10 piezas,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:26:43Z
playwright_uber_eats,uber_eats,MX_HMO_01,Hermosillo,Centro,urban_secondary,29.089,-110.961,Coca-Cola 600ml,49.0,,,49.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:39:19Z
playwright_uber_eats,uber_eats,MX_HMO_01,Hermosillo,Centro,urban_secondary,29.089,-110.961,Combo Big Mac,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:39:19Z
playwright_uber_eats,uber_eats,MX_HMO_01,Hermosillo,Centro,urban_secondary,29.089,-110.961,McNuggets 10 piezas,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:39:19Z
playwright_uber_eats,uber_eats,MX_LEO_01,León,Centro,urban_secondary,21.125,-101.686,Coca-Cola 600ml,55.0,,12.0,67.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:33:58Z
playwright_uber_eats,uber_eats,MX_LEO_01,León,Centro,urban_secondary,21.125,-101.686,Combo Big Mac,,,12.0,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:33:58Z
playwright_uber_eats,uber_eats,MX_LEO_01,León,Centro,urban_secondary,21.125,-101.686,McNuggets 10 piezas,,,12.0,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:33:58Z
playwright_uber_eats,uber_eats,MX_MID_01,Mérida,Paseo Montejo,urban_secondary,20.967,-89.623,Coca-Cola 600ml,55.0,,,55.0,14.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:31:22Z
playwright_uber_eats,uber_eats,MX_MID_01,Mérida,Paseo Montejo,urban_secondary,20.967,-89.623,Combo Big Mac,,,,,14.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:31:22Z
playwright_uber_eats,uber_eats,MX_MID_01,Mérida,Paseo Montejo,urban_secondary,20.967,-89.623,McNuggets 10 piezas,,,,,14.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:31:22Z
playwright_uber_eats,uber_eats,MX_MTY_01,Monterrey,San Pedro,urban_core,25.657,-100.402,Coca-Cola 600ml,59.0,,,59.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:27:34Z
playwright_uber_eats,uber_eats,MX_MTY_01,Monterrey,San Pedro,urban_core,25.657,-100.402,Combo Big Mac,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:27:34Z
playwright_uber_eats,uber_eats,MX_MTY_01,Monterrey,San Pedro,urban_core,25.657,-100.402,McNuggets 10 piezas,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:27:34Z
